timestamp,x_price,y_price,beta_kalman,spread,signal,desired_pos,position,position_prev,spread_diff,cash_pnl_raw,trade_cost,pnl,cum_pnl
2025-11-07 17:20:00,101627.5,3334.83,0.0328142481087972,3.22415871778503e-10,HOLD,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2025-11-07 17:20:10,101562.0,3331.51,0.0328027214873268,-1.1349584383424371e-08,HOLD,0.0,0.0,0.0,-1.1672000255202875e-08,-0.0,0.0,-0.0,0.0
2025-11-07 17:20:20,101578.7,3333.59,0.0328178053043796,1.48493199958466e-08,HOLD,0.0,0.0,0.0,2.619890437927097e-08,0.0,0.0,0.0,0.0
2025-11-07 17:20:30,101593.4,3333.84,0.0328155175403991,-2.2519088815897703e-09,HOLD,0.0,0.0,0.0,-1.710122887743637e-08,-0.0,0.0,-0.0,0.0
2025-11-07 17:20:40,101621.0,3334.81,0.0328161502020849,6.225491233635694e-10,HOLD,0.0,0.0,0.0,2.8744580049533397e-09,0.0,0.0,0.0,0.0
2025-11-07 17:20:50,101675.3,3337.55,0.0328255731695139,9.26775101106614e-09,HOLD,0.0,0.0,0.0,8.645201887702571e-09,0.0,0.0,0.0,0.0
2025-11-07 17:21:00,101760.0,3344.09,0.0328625196509938,3.630748324212618e-08,HOLD,0.0,0.0,0.0,2.7039732231060043e-08,0.0,0.0,0.0,0.0
2025-11-07 17:21:10,101785.8,3343.48,0.0328481968971318,-1.4071247278479861e-08,HOLD,0.0,0.0,0.0,-5.037873052060604e-08,-0.0,0.0,-0.0,0.0
2025-11-07 17:21:20,101794.9,3342.94,0.0328399556335873,-8.096321835182607e-09,HOLD,0.0,0.0,0.0,5.974925443297254e-09,0.0,0.0,0.0,0.0
2025-11-07 17:21:30,101764.1,3342.88,0.0328493054004831,9.187715477310121e-09,HOLD,0.0,0.0,0.0,1.7284037312492728e-08,0.0,0.0,0.0,0.0
2025-11-07 17:21:40,101836.7,3344.86,0.032845329824274,-3.9030965126585215e-09,HOLD,0.0,0.0,0.0,-1.3090811989968643e-08,-0.0,0.0,-0.0,0.0
2025-11-07 17:21:50,101834.0,3344.96,0.0328471826669861,1.819444150896743e-09,HOLD,0.0,0.0,0.0,5.7225406635552645e-09,0.0,0.0,0.0,0.0
2025-11-07 17:22:00,101798.6,3344.24,0.0328515323364553,4.27235136157833e-09,HOLD,0.0,0.0,0.0,2.4529072106815875e-09,0.0,0.0,0.0,0.0
2025-11-07 17:22:10,101787.8,3344.31,0.0328557056907171,4.100456862943247e-09,HOLD,0.0,0.0,0.0,-1.7189449863508344e-10,-0.0,0.0,-0.0,0.0
2025-11-07 17:22:20,101817.0,3345.94,0.0328622921487079,6.4692358137108386e-09,HOLD,0.0,0.0,0.0,2.3687789507675916e-09,0.0,0.0,0.0,0.0
2025-11-07 17:22:30,101842.9,3348.44,0.0328784824440334,1.5897057892289013e-08,HOLD,0.0,0.0,0.0,9.427822078578174e-09,0.0,0.0,0.0,0.0
2025-11-07 17:22:40,101854.9,3350.18,0.032891692002091,1.2969394447281957e-08,HOLD,0.0,0.0,0.0,-2.927663445007056e-09,-0.0,0.0,-0.0,0.0
2025-11-07 17:22:50,101880.2,3349.79,0.0328796959539314,-1.1775227903854102e-08,HOLD,0.0,0.0,0.0,-2.474462235113606e-08,-0.0,0.0,-0.0,0.0
2025-11-07 17:23:00,101950.4,3358.48,0.032942293504432,6.13999873166904e-08,SHORT,-1.0,-1.0,0.0,7.31752152205445e-08,0.0,1.0,-1.0,-1.0
2025-11-07 17:23:10,101999.0,3360.93,0.032950617160475,8.161350706359372e-09,HOLD,0.0,0.0,-1.0,-5.323863661033103e-08,5.323863661033103e-05,1.0,-0.9999467613633897,-1.9999467613633897
2025-11-07 17:23:20,102081.8,3362.76,0.0329418172461806,-8.6206455307547e-09,HOLD,0.0,0.0,0.0,-1.6781996237114072e-08,-0.0,0.0,-0.0,-1.9999467613633897
2025-11-07 17:23:30,102036.4,3361.06,0.0329398136327369,-1.963599061127752e-09,HOLD,0.0,0.0,0.0,6.657046469626948e-09,0.0,0.0,0.0,-1.9999467613633897
2025-11-07 17:23:40,102117.1,3367.11,0.0329730280212257,3.2525804272154346e-08,HOLD,0.0,0.0,0.0,3.44894033332821e-08,0.0,0.0,0.0,-1.9999467613633897
2025-11-07 17:23:50,102121.8,3363.33,0.0329344958648908,-3.7731751945102594e-08,LONG,1.0,1.0,0.0,-7.025755621725693e-08,-0.0,1.0,-1.0,-2.9999467613633897
2025-11-07 17:24:00,102061.8,3360.55,0.0329266189680155,-7.717517291894183e-09,HOLD,0.0,0.0,1.0,3.001423465320841e-08,3.001423465320841e-05,1.0,-0.9999699857653468,-3.9999167471287365
2025-11-07 17:24:10,102070.0,3362.33,0.0329414127536849,1.4492798072751611e-08,HOLD,0.0,0.0,0.0,2.2210315364645794e-08,0.0,0.0,0.0,-3.9999167471287365
