timestamp,x_price,y_price,beta_kalman,alpha_kalman,spread,zscore,rolling_corr
2025-11-07 17:20:00,101627.5,3334.83,0.032814248108797225,3.228874872332511e-07,3.2241587177850306e-10,,
2025-11-07 17:20:10,101562.0,3331.51,0.03280272148732686,3.154591478092776e-07,-1.1349584383424371e-08,,
2025-11-07 17:20:20,101578.7,3333.59,0.03281780530437961,3.131658843950756e-07,1.48493199958466e-08,,
2025-11-07 17:20:30,101593.4,3333.84,0.03281551754039911,3.1346925737241065e-07,-2.2519088815897703e-09,,
2025-11-07 17:20:40,101621.0,3334.81,0.032816150202084914,3.1330634201949844e-07,6.225491233635694e-10,,
2025-11-07 17:20:50,101675.3,3337.55,0.03282557316951399,3.084466807925109e-07,9.267751011066139e-09,,
2025-11-07 17:21:00,101760.0,3344.09,0.032862519650993814,2.785622205576158e-07,3.630748324212618e-08,,
2025-11-07 17:21:10,101785.8,3343.48,0.03284819689713184,2.819894032422476e-07,-1.407124727847986e-08,,
2025-11-07 17:21:20,101794.9,3342.94,0.03283995563358738,2.826323073345698e-07,-8.096321835182607e-09,,
2025-11-07 17:21:30,101764.1,3342.88,0.032849305400483156,2.8550434531598225e-07,9.187715477310121e-09,,
2025-11-07 17:21:40,101836.7,3344.86,0.032845329824274086,2.882506657691451e-07,-3.9030965126585215e-09,,
2025-11-07 17:21:50,101834.0,3344.96,0.03284718266698611,2.8831710556472873e-07,1.819444150896743e-09,,
2025-11-07 17:22:00,101798.6,3344.24,0.03285153233645533,2.898453486758018e-07,4.27235136157833e-09,,
2025-11-07 17:22:10,101787.8,3344.31,0.03285570569071714,2.9032138795744784e-07,4.100456862943247e-09,,
2025-11-07 17:22:20,101817.0,3345.94,0.032862292148707985,2.885300704194286e-07,6.4692358137108386e-09,0.27255159718536776,0.9866248700748065
2025-11-07 17:22:30,101842.9,3348.44,0.03287848244403349,2.846445084542212e-07,1.5897057892289013e-08,0.9844384746950582,0.9843479452841128
2025-11-07 17:22:40,101854.9,3350.18,0.032891692002091064,2.8324583604770334e-07,1.2969394447281957e-08,0.7099345738648226,0.9799392784602596
2025-11-07 17:22:50,101880.2,3349.79,0.0328796959539314,2.860533248804246e-07,-1.1775227903854102e-08,-1.2596221328287633,0.9818982155966737
2025-11-07 17:23:00,101950.4,3358.48,0.032942293504432035,2.443523693959981e-07,6.139998731669039e-08,3.0787185306225417,0.9736905966788368
2025-11-07 17:23:10,101999.0,3360.93,0.03295061716047506,2.405430927132907e-07,8.161350706359372e-09,0.08381024267010181,0.9760246154990723
2025-11-07 17:23:20,102081.8,3362.76,0.03294181724618066,2.474561363237737e-07,-8.6206455307547e-09,-0.8485021785362151,0.9815541667637766
2025-11-07 17:23:30,102036.4,3361.06,0.03293981363273695,2.465630108911073e-07,-1.963599061127752e-09,-0.44925224206943287,0.9841318273200633
2025-11-07 17:23:40,102117.1,3367.11,0.032973028021225786,2.2115815419153072e-07,3.2525804272154346e-08,1.4775952871451243,0.9869043371689216
2025-11-07 17:23:50,102121.8,3363.33,0.03293449586489088,2.2251785596108698e-07,-3.773175194510259e-08,-2.2097567478627775,0.9871051479295347
2025-11-07 17:24:00,102061.8,3360.55,0.03292661896801558,2.179051388667361e-07,-7.717517291894183e-09,-0.6368785515517773,0.9876772535283247
2025-11-07 17:24:10,102070.0,3362.33,0.03294141275368494,2.168853060172877e-07,1.4492798072751611e-08,0.5151025076658533,0.9885804137943172
